filename,original_name,file_path,file_size,mime_type,alt_text,uploaded_at
10.Bharuch Dahej Access Controlled Expressway 2.jpeg,10.Bharuch Dahej Access Controlled Expressway 2.jpeg,/media/project-photos/roads/10.Bharuch Dahej Access Controlled Expressway 2.jpeg,285940,image/jpeg,Road infrastructure project: 10.Bharuch Dahej Access Controlled Expressway 2,2025-08-22 09:25:35
10.Bharuch Dahej Access Controlled Expressway.webp,10.Bharuch Dahej Access Controlled Expressway.webp,/media/project-photos/roads/10.Bharuch Dahej Access Controlled Expressway.webp,64094,image/webp,Road infrastructure project: 10.Bharuch Dahej Access Controlled Expressway,2025-08-22 09:25:35
11.Ahmedabad – Dholera 6 lane Expressway 1.jpeg,11.Ahmedabad – Dholera 6 lane Expressway 1.jpeg,/media/project-photos/roads/11.Ahmedabad – Dholera 6 lane Expressway 1.jpeg,138142,image/jpeg,Road infrastructure project: 11.Ahmedabad – Dholera 6 lane Expressway 1,2025-08-22 09:25:35
11.Ahmedabad – Dholera 6 lane Expressway 2.jpeg,11.Ahmedabad – Dholera 6 lane Expressway 2.jpeg,/media/project-photos/roads/11.Ahmedabad – Dholera 6 lane Expressway 2.jpeg,136458,image/jpeg,Road infrastructure project: 11.Ahmedabad – Dholera 6 lane Expressway 2,2025-08-22 09:25:35
11.Ahmedabad – Dholera 6 lane Expressway 3.jpeg,11.Ahmedabad – Dholera 6 lane Expressway 3.jpeg,/media/project-photos/roads/11.Ahmedabad – Dholera 6 lane Expressway 3.jpeg,24043,image/jpeg,Road infrastructure project: 11.Ahmedabad – Dholera 6 lane Expressway 3,2025-08-22 09:25:35
12.Girvi– Phaltan Project (MSIDC).jpeg,12.Girvi– Phaltan Project (MSIDC).jpeg,/media/project-photos/roads/12.Girvi– Phaltan Project (MSIDC).jpeg,68449,image/jpeg,Road infrastructure project: 12.Girvi– Phaltan Project (MSIDC),2025-08-22 09:25:35
13.Jalgaon– Jamod Project.webp,13.Jalgaon– Jamod Project.webp,/media/project-photos/roads/13.Jalgaon– Jamod Project.webp,182706,image/webp,Road infrastructure project: 13.Jalgaon– Jamod Project,2025-08-22 09:25:35
14.Daman Devka Beach Road Project 1.webp,14.Daman Devka Beach Road Project 1.webp,/media/project-photos/roads/14.Daman Devka Beach Road Project 1.webp,38074,image/webp,Road infrastructure project: 14.Daman Devka Beach Road Project 1,2025-08-22 09:25:35
7.Vadodara – Mumbai 8 lane PQC Expressway (1).jpeg,7.Vadodara – Mumbai 8 lane PQC Expressway (1).jpeg,/media/project-photos/roads/7.Vadodara – Mumbai 8 lane PQC Expressway (1).jpeg,198446,image/jpeg,Road infrastructure project: 7.Vadodara – Mumbai 8 lane PQC Expressway (1),2025-08-22 09:25:35
8.DELHI - VADODARA PQC 8 LINE 1.jpeg,8.DELHI - VADODARA PQC 8 LINE 1.jpeg,/media/project-photos/roads/8.DELHI - VADODARA PQC 8 LINE 1.jpeg,134482,image/jpeg,Road infrastructure project: 8.DELHI - VADODARA PQC 8 LINE 1,2025-08-22 09:25:35
